Site ID,TURF,C,G,S,Z,MA,OL,SEAG,DCA,CA,DC,SPR,U,TWS,points
BISC-P10a,0,0,83.33,0,0,0,0,0,0,0,0,16.67,0,11.11,18
BISC-P10a,0,10,55,15,0,5,0,0,0,0,0,15,0,0,20
BISC-P10a,10.53,5.26,26.32,15.79,0,0,0,0,0,0,0,42.11,0,5.26,19
BISC-P10a,11.11,5.56,0,16.67,0,5.56,0,0,0,0,0,61.11,0,11.11,18
BISC-P10a,5.88,0,11.76,0,0,11.76,0,0,0,0,0,70.59,0,17.65,17
BISC-P10a,5.56,0,11.11,27.78,0,0,0,0,0,0,0,55.56,0,11.11,18
BISC-P10a,10.53,5.26,10.53,15.79,0,0,0,0,0,0,0,52.63,0,5.26,19
BISC-P10a,6.25,0,31.25,6.25,0,0,0,0,6.25,0,0,50,0,25,16
BISC-P10a,0,5,20,0,0,0,0,0,5,0,0,70,0,0,20
BISC-P10a,0,5.26,10.53,31.58,0,0,0,0,0,0,0,52.63,0,5.26,19
BISC-P10a,5.26,0,36.84,10.53,0,0,0,0,0,0,0,47.37,0,5.26,19
BISC-P10a,0,58.82,5.88,0,0,0,0,0,0,0,0,35.29,0,17.65,17
BISC-P10a,0,10.53,15.79,0,0,21.05,0,0,0,0,0,52.63,0,5.26,19
BISC-P10a,0,0,20,0,0,15,0,0,5,0,0,60,0,0,20
BISC-P10a,10,10,0,5,0,50,0,0,0,0,0,25,0,0,20
BISC-P10a,0,10.53,10.53,15.79,0,36.84,0,0,0,0,0,26.32,0,5.26,19
BISC-P10a,15,5,10,0,0,40,5,0,0,0,0,25,0,0,20
BISC-P10a,5.56,5.56,11.11,11.11,0,33.33,0,0,0,0,0,33.33,0,11.11,18
BISC-P10a,0,0,35,0,0,25,0,0,0,0,0,40,0,0,20
BISC-P10a,11.11,0,16.67,5.56,0,16.67,0,0,0,0,0,50,0,11.11,18
BISC-P10a,0,5,25,5,0,15,0,0,15,0,0,35,0,0,20
BISC-P10a,5,5,5,5,0,55,0,0,0,0,0,25,0,0,20
BISC-P10a,15,0,20,0,0,15,0,0,0,0,0,50,0,0,20
BISC-P10a,15,0,5,0,0,30,0,0,0,0,0,50,0,0,20
BISC-P10a,0,0,10.53,0,0,10.53,0,0,0,0,0,78.95,0,5.26,19
BISC-P10a,15,25,10,5,0,0,0,0,0,0,0,45,0,0,20
BISC-P10a,15,10,15,10,0,15,0,0,0,0,0,35,0,0,20
BISC-P10a,0,0,64.71,5.88,0,0,0,0,0,0,0,29.41,0,17.65,17
