id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2,Average,LF,i.Site_ID,i.trans_area,NumPerSurv,AvgTimeSurv,i.NumPerSurv,i.trans_area.1,TransDens,i.Site_area_m2,AvgLFSite,AvgTimeSite,i.Site_area_m2.1,SiteDens1000,SiteDens,AvgCoral,AvgGorg
5,118,0.891891892,28,30,Reef,SH,rest,rest,midday,1,1,0,0,0.083333333,0.083333333,Danielle,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,3/20/2013,Spring 2013,2,Danielle,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,446.5,798,33.76,1,KL-P11,446.5,9,0.6957777776666667,9,446.5,0.020156774916013438,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
7,118,0.891891892,34,10,Reef,SH,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Danielle,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,3/20/2013,Spring 2013,2,Danielle,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,446.5,798,33.76,1,KL-P11,446.5,9,0.6957777776666667,9,446.5,0.020156774916013438,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
8,118,0.891891892,44,12,Reef,EXP,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Danielle,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,3/20/2013,Spring 2013,2,Danielle,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,446.5,798,33.76,1,KL-P11,446.5,9,0.6957777776666667,9,446.5,0.020156774916013438,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
9,118,0.891891892,2,17,Reef,SH,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Danielle,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,3/20/2013,Spring 2013,2,Danielle,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,446.5,798,33.76,1,KL-P11,446.5,9,0.6957777776666667,9,446.5,0.020156774916013438,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
10,118,0.891891892,18,19,Reef,SH,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Danielle,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,3/20/2013,Spring 2013,2,Danielle,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,446.5,798,33.76,1,KL-P11,446.5,9,0.6957777776666667,9,446.5,0.020156774916013438,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
11,118,0.891891892,18,20,Reef,SH,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Danielle,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,3/20/2013,Spring 2013,2,Danielle,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,446.5,798,33.76,1,KL-P11,446.5,9,0.6957777776666667,9,446.5,0.020156774916013438,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
6,118,0.891891892,26,7,Reef,SH,rest,rest,midday,2,1,1.002,0.0167,1.002,1.002,Danielle,1,0.99999,0,NA,NA,Low,Intern,Medium,Low,3/20/2013,Spring 2013,2,Danielle,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,446.5,798,33.76,1,KL-P11,446.5,9,0.6957777776666667,9,446.5,0.020156774916013438,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
13,119,0.891891892,32,15,Reef,SH,rest,rest,midday,1,1,0,0,0.083333333,0.083333333,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,3/20/2013,Spring 2013,2,Roger/Patricia Grimes,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,399,798,33.76,1,KL-P11,399,7,0.7624761902857142,7,399,0.017543859649122806,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
14,119,0.891891892,35,15,Reef,SH,rest,rest,midday,1,1,0,0,0.083333333,0.083333333,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,3/20/2013,Spring 2013,2,Roger/Patricia Grimes,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,399,798,33.76,1,KL-P11,399,7,0.7624761902857142,7,399,0.017543859649122806,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
15,119,0.891891892,35,20,Reef,SH,rest,rest,midday,1,1,0,0,0.083333333,0.083333333,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,3/20/2013,Spring 2013,2,Roger/Patricia Grimes,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,399,798,33.76,1,KL-P11,399,7,0.7624761902857142,7,399,0.017543859649122806,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
16,119,0.891891892,32,6,Reef,EXP,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,3/20/2013,Spring 2013,2,Roger/Patricia Grimes,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,399,798,33.76,1,KL-P11,399,7,0.7624761902857142,7,399,0.017543859649122806,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
17,119,0.891891892,35,22,Reef,EXP,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,3/20/2013,Spring 2013,2,Roger/Patricia Grimes,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,399,798,33.76,1,KL-P11,399,7,0.7624761902857142,7,399,0.017543859649122806,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
18,119,0.891891892,10,12,Reef,SH,rest,rest,midday,1,1,3,0.05,3,3,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,3/20/2013,Spring 2013,2,Roger/Patricia Grimes,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,399,798,33.76,1,KL-P11,399,7,0.7624761902857142,7,399,0.017543859649122806,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
12,119,0.891891892,31,15,Reef,SH,rest,rest,midday,2,1,0,0,0.083333333,0.083333333,Robert,1,0.99999,0,NA,NA,NA,NRM&CS,High,High,3/20/2013,Spring 2013,2,Roger/Patricia Grimes,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,12,399,798,33.76,1,KL-P11,399,7,0.7624761902857142,7,399,0.017543859649122806,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
59,173,1,38.8,13,Reef,EXP,hover,active,midday,1,1,0,0,0.083333333,0.083333333,Lindsay,1,0.99999,0,500,0,Low,Volunteer,Low,Low,6/12/2013,Summer 2013,3,Lindsay/Catie,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,10,399,798,33.76,1,KL-P11,399,2,0.5426666665,2,399,0.005012531328320802,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
60,173,1,14,16,Reef,SH,swim,active,midday,1,1,1.002,0.0167,1.002,1.002,Lindsay,1,0.99999,0,500,0,Low,Volunteer,Low,Low,6/12/2013,Summer 2013,3,Lindsay/Catie,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,10,399,798,33.76,1,KL-P11,399,2,0.5426666665,2,399,0.005012531328320802,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
61,174,1,31,14,Reef,SH,rest,rest,midday,1,1,0.498,0.0083,0.498,0.498,Alex,1,0.99999,0,100,50,Low,Intern,Low,Low,6/12/2013,Summer 2013,3,Alexis/Alex,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,1.3499999999999999,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
62,174,1,10,20,Reef,SH,rest,rest,midday,1,1,0.498,0.0083,0.498,0.498,Alex,1,0.99999,0,100,50,Low,Intern,Low,Low,6/12/2013,Summer 2013,3,Alexis/Alex,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,1.3499999999999999,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
63,174,1,31,20,Reef,SH,rest,rest,midday,1,1,0.75,0.0125,0.75,0.75,Alex,1,0.99999,0,100,50,Low,Intern,Low,Low,6/12/2013,Summer 2013,3,Alexis/Alex,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,1.3499999999999999,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
64,174,1,15,18,Reef,SH,rest,rest,midday,1,1,1.002,0.0167,1.002,1.002,Alex,1,0.99999,0,100,50,Low,Intern,Low,Low,6/12/2013,Summer 2013,3,Alexis/Alex,KL-P11,0.5,Florida,FKNMS,Key Largo,patch,14,399,798,33.76,1,KL-P11,399,5,1.3499999999999999,5,399,0.012531328320802004,798,4.733333333333333,1.7036999999,798,5.931495405179616,0.005931495405179616,10.987654320966667,5.948343079844444
